filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,reidentification_mean,reidentification_standard_error,reidentification_attack_duration,avg_time_per_reidentification_attack_run,allocated_memory_MiB
MAC000221.csv,2,2012-02-24 to 2012-04-07,578.51,0.80,8.840013,0.036875,0.000000,0.000000,14.854397,0.014854,93.00
MAC000033.csv,5,2012-07-07 to 2012-08-19,277.66,0.10,8.241296,5.247258,0.010037,0.000157,153.111110,0.153111,118.00
MAC000049.csv,9,2012-12-26 to 2013-02-07,1633.76,0.10,9.484247,7.703195,0.010037,0.000157,153.111110,0.153111,118.00
MAC000067.csv,1,2012-01-21 to 2012-03-03,383.14,0.10,8.615162,5.648099,0.010037,0.000157,153.111110,0.153111,118.00
MAC000188.csv,6,2012-08-10 to 2012-09-22,176.90,0.10,7.951394,4.893923,0.010037,0.000157,153.111110,0.153111,118.00
MAC000221.csv,7,2012-09-25 to 2012-11-06,709.59,0.10,8.961441,6.646916,0.010037,0.000157,153.111110,0.153111,118.00
MAC000166.csv,5,2012-06-24 to 2012-08-06,378.38,0.20,8.806250,5.763988,0.007513,0.000194,150.174340,0.150174,107.00
MAC000271.csv,6,2012-08-17 to 2012-09-29,341.26,0.30,8.465482,5.350144,0.004938,0.000193,148.197469,0.148197,123.00
MAC000162.csv,0,2011-11-24 to 2012-01-06,185.52,0.80,7.815206,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000108.csv,1,2012-01-25 to 2012-03-07,163.38,0.40,7.349086,1.673816,0.002475,0.000158,147.637229,0.147637,116.00
MAC004539.csv,1,2012-02-02 to 2012-03-15,281.55,0.50,8.421386,1.791320,0.000000,0.000000,14.832863,0.014833,126.00
MAC000055.csv,0,2011-12-09 to 2012-01-21,618.50,0.60,8.773690,2.254079,0.000000,0.000000,14.798131,0.014798,113.00
MAC000246.csv,2,2012-02-26 to 2012-04-09,472.54,0.80,8.514443,0.036875,0.000000,0.000000,14.854397,0.014854,93.00
MAC000175.csv,9,2012-12-13 to 2013-01-26,398.02,0.10,8.241771,5.219168,0.010037,0.000157,153.111110,0.153111,118.00
MAC000185.csv,5,2012-06-26 to 2012-08-09,215.61,0.10,7.283755,4.403017,0.010037,0.000157,153.111110,0.153111,118.00
MAC000194.csv,6,2012-08-10 to 2012-09-22,383.12,0.20,8.436201,5.527688,0.007513,0.000194,150.174340,0.150174,107.00
MAC000159.csv,0,2011-11-24 to 2012-01-06,667.67,0.30,8.788828,5.791717,0.004938,0.000193,148.197469,0.148197,123.00
MAC000155.csv,2,2012-02-16 to 2012-03-30,535.60,0.50,8.788485,2.417382,0.000000,0.000000,14.832863,0.014833,126.00
MAC000153.csv,3,2012-03-30 to 2012-05-12,1174.04,0.70,9.518383,2.880560,0.000000,0.000000,14.794535,0.014795,98.00
MAC004539.csv,1,2012-02-02 to 2012-03-15,281.55,0.90,8.421386,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000178.csv,2,2012-02-19 to 2012-04-02,593.58,0.10,8.947313,6.285915,0.010037,0.000157,153.111110,0.153111,118.00
MAC000160.csv,0,2011-11-24 to 2012-01-06,258.52,0.20,7.484728,4.636043,0.007513,0.000194,150.174340,0.150174,107.00
MAC000171.csv,1,2012-01-07 to 2012-02-18,128.31,0.30,7.178085,4.035691,0.004938,0.000193,148.197469,0.148197,123.00
MAC000152.csv,2,2012-02-16 to 2012-03-30,347.56,0.60,8.555983,1.898162,0.000000,0.000000,14.798131,0.014798,113.00
MAC000158.csv,6,2012-08-06 to 2012-09-17,149.74,0.60,7.579706,1.244043,0.000000,0.000000,14.798131,0.014798,113.00
MAC000198.csv,0,2011-11-28 to 2012-01-10,375.22,0.60,8.449885,1.383877,0.000000,0.000000,14.798131,0.014798,113.00
MAC000174.csv,4,2012-05-14 to 2012-06-25,834.98,0.70,9.289123,2.374462,0.000000,0.000000,14.794535,0.014795,98.00
MAC000188.csv,8,2012-11-04 to 2012-12-16,230.56,0.80,8.340851,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000024.csv,4,2012-05-26 to 2012-07-08,346.56,0.10,8.328049,5.578724,0.010037,0.000157,153.111110,0.153111,118.00
MAC000155.csv,7,2012-09-17 to 2012-10-29,576.30,0.40,9.040707,2.801246,0.002475,0.000158,147.637229,0.147637,116.00
MAC000171.csv,0,2011-11-25 to 2012-01-07,107.20,0.80,6.821408,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000207.csv,9,2012-12-17 to 2013-01-29,709.52,0.80,9.175136,0.085674,0.000000,0.000000,14.854397,0.014854,93.00
MAC004539.csv,8,2012-11-26 to 2013-01-08,303.74,0.80,8.525993,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC004539.csv,8,2012-11-26 to 2013-01-08,303.74,0.90,8.525993,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000108.csv,0,2011-12-13 to 2012-01-25,158.92,0.10,7.358522,4.689855,0.010037,0.000157,153.111110,0.153111,118.00
MAC000274.csv,8,2012-11-11 to 2012-12-24,2246.83,0.10,9.556611,7.523646,0.010037,0.000157,153.111110,0.153111,118.00
MAC000186.csv,2,2012-02-21 to 2012-04-04,155.27,0.20,7.655389,4.472163,0.007513,0.000194,150.174340,0.150174,107.00
MAC000153.csv,5,2012-06-23 to 2012-08-05,794.75,0.30,8.924028,6.148338,0.004938,0.000193,148.197469,0.148197,123.00
MAC000238.csv,2,2012-02-25 to 2012-04-08,530.52,0.30,9.033051,6.103069,0.004938,0.000193,148.197469,0.148197,123.00
MAC000244.csv,9,2012-12-20 to 2013-02-01,290.40,0.30,7.964118,4.508462,0.004938,0.000193,148.197469,0.148197,123.00
MAC000191.csv,8,2012-11-03 to 2012-12-16,678.21,0.50,8.450489,2.561672,0.000000,0.000000,14.832863,0.014833,126.00
MAC000207.csv,5,2012-06-30 to 2012-08-11,491.74,0.60,8.445124,1.821353,0.000000,0.000000,14.798131,0.014798,113.00
MAC000221.csv,7,2012-09-25 to 2012-11-06,709.59,0.20,8.961441,6.517415,0.007513,0.000194,150.174340,0.150174,107.00
MAC000201.csv,4,2012-05-18 to 2012-06-29,325.10,0.50,8.502232,1.735695,0.000000,0.000000,14.832863,0.014833,126.00
MAC000177.csv,6,2012-08-08 to 2012-09-20,292.60,0.60,8.047000,1.556461,0.000000,0.000000,14.798131,0.014798,113.00
MAC000191.csv,0,2011-11-28 to 2012-01-10,895.99,0.60,9.038939,2.961472,0.000000,0.000000,14.798131,0.014798,113.00
MAC000203.csv,6,2012-08-11 to 2012-09-23,257.22,0.70,8.365749,1.500530,0.000000,0.000000,14.794535,0.014795,98.00
MAC000214.csv,0,2011-11-30 to 2012-01-12,339.00,0.70,8.705066,1.797326,0.000000,0.000000,14.794535,0.014795,98.00
MAC000271.csv,7,2012-09-29 to 2012-11-10,357.78,0.70,8.580010,1.601110,0.000000,0.000000,14.794535,0.014795,98.00
MAC000174.csv,4,2012-05-14 to 2012-06-25,834.98,0.20,9.289123,6.825543,0.007513,0.000194,150.174340,0.150174,107.00
MAC000193.csv,5,2012-06-28 to 2012-08-10,314.43,0.30,8.401785,5.281660,0.004938,0.000193,148.197469,0.148197,123.00
MAC000199.csv,6,2012-08-10 to 2012-09-22,236.89,0.50,7.988486,1.138384,0.000000,0.000000,14.832863,0.014833,126.00
MAC000176.csv,4,2012-05-14 to 2012-06-25,448.26,0.60,7.903752,1.231943,0.000000,0.000000,14.798131,0.014798,113.00
MAC000252.csv,5,2012-07-03 to 2012-08-15,614.40,0.60,7.467222,1.747755,0.000000,0.000000,14.798131,0.014798,113.00
MAC000245.csv,2,2012-02-25 to 2012-04-08,823.40,0.70,9.276169,2.392987,0.000000,0.000000,14.794535,0.014795,98.00
MAC000272.csv,4,2012-05-25 to 2012-07-06,336.15,0.70,8.272854,1.745633,0.000000,0.000000,14.794535,0.014795,98.00
MAC000167.csv,3,2012-03-31 to 2012-05-13,27.17,0.80,3.300620,0.000000,0.000000,0.000000,14.854397,0.014854,93.00
MAC000178.csv,2,2012-02-19 to 2012-04-02,593.58,0.20,8.947313,6.133670,0.007513,0.000194,150.174340,0.150174,107.00
MAC000194.csv,2,2012-02-21 to 2012-04-04,500.46,0.40,8.570650,2.463971,0.002475,0.000158,147.637229,0.147637,116.00
MAC000069.csv,2,2012-03-03 to 2012-04-15,520.64,0.70,8.137131,1.227833,0.000000,0.000000,14.794535,0.014795,98.00
MAC000167.csv,4,2012-05-13 to 2012-06-24,182.24,0.90,7.764891,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000256.csv,0,2011-12-05 to 2012-01-17,1270.42,0.90,9.209983,0.000000,0.000000,0.000000,14.839457,0.014839,142.00
MAC000034.csv,1,2012-01-19 to 2012-03-01,2423.76,0.20,9.220244,6.923126,0.007513,0.000194,150.174340,0.150174,107.00
MAC000024.csv,8,2012-11-13 to 2012-12-26,1563.09,0.40,9.364096,4.174065,0.002475,0.000158,147.637229,0.147637,116.00
MAC000055.csv,4,2012-05-28 to 2012-07-09,487.39,0.40,8.502336,2.069699,0.002475,0.000158,147.637229,0.147637,116.00
MAC000166.csv,5,2012-06-24 to 2012-08-06,378.38,0.40,8.806250,2.157236,0.002475,0.000158,147.637229,0.147637,116.00
MAC000175.csv,8,2012-10-31 to 2012-12-13,372.21,0.50,8.374131,1.317515,0.000000,0.000000,14.832863,0.014833,126.00
MAC000147.csv,1,2012-01-05 to 2012-02-16,324.77,0.70,8.401276,1.612313,0.000000,0.000000,14.794535,0.014795,98.00
MAC000219.csv,9,2012-12-18 to 2013-01-30,297.71,0.70,7.884311,1.243866,0.000000,0.000000,14.794535,0.014795,98.00
MAC000205.csv,1,2012-01-11 to 2012-02-22,449.34,0.80,8.571189,0.072654,0.000000,0.000000,14.854397,0.014854,93.00
MAC000044.csv,7,2012-10-02 to 2012-11-13,732.76,0.10,9.099541,6.804626,0.010037,0.000157,153.111110,0.153111,118.00
