filename,section,date_range,section_sum_usage,encryption_ratio,section_raw_entropy,section_remaining_entropy,asr_mean,asr_standard_error,asr_attack_duration,avg_time_per_attack_run
9094d2a3-390e-4e13-b576-5187befcf2a9.csv,8,14/12/2015 to 26/01/2016,15000.00,0.10,4.656687,4.656687,0.009437,0.000170,22.614051,0.022614
c5ad1069-7952-4bb6-8b54-5941b833ed76.csv,9,26/01/2016 to 08/03/2016,6290.00,0.10,2.564410,2.564410,0.009437,0.000170,22.614051,0.022614
9cbc1567-3633-4ec7-baa4-912a08e1cb88.csv,9,26/01/2016 to 09/03/2016,7384.00,0.20,2.844816,2.844816,0.009437,0.000170,21.754572,0.021755
c5ad1069-7952-4bb6-8b54-5941b833ed76.csv,8,14/12/2015 to 26/01/2016,5715.00,0.40,2.383661,2.383661,0.009575,0.000167,21.961779,0.021962
f12f91f7-81ca-4b7c-a5e8-3b81c4e5720b.csv,7,31/10/2015 to 13/12/2015,10711.00,0.60,4.074848,4.074848,0.009150,0.000175,23.235142,0.023235
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,4,27/06/2015 to 09/08/2015,11707.00,0.80,3.986507,2.591478,0.008738,0.000181,24.874580,0.024875
9cbc1567-3633-4ec7-baa4-912a08e1cb88.csv,2,27/03/2015 to 13/05/2015,12016.00,0.80,3.641549,2.282650,0.008738,0.000181,24.874580,0.024875
f5a28746-11f7-423f-9ae0-204a9b6d50ac.csv,4,25/06/2015 to 07/08/2015,17248.00,0.80,4.391966,3.011180,0.008738,0.000181,24.874580,0.024875
9ea6de13-dd18-4319-8b26-c0c1db8b9449.csv,1,12/02/2015 to 27/03/2015,15810.00,0.20,4.690968,4.690968,0.009437,0.000170,21.754572,0.021755
2be3a38f-550e-4154-82d3-9b808d4b0bf6.csv,3,12/05/2015 to 25/06/2015,13166.00,0.30,4.054590,4.054590,0.009425,0.000170,23.054103,0.023054
8d2aa3f4-dab3-40e7-873c-af846d4e2a9c.csv,2,27/03/2015 to 12/05/2015,4747.00,0.50,2.353311,2.353311,0.009200,0.000174,23.343575,0.023344
c5c103dc-1812-474c-8d40-03e844585f5b.csv,7,31/10/2015 to 13/12/2015,13294.00,0.60,4.073492,4.073492,0.009150,0.000175,23.235142,0.023235
d6b1a7de-ae5e-45e8-9a53-f58484c9fd2f.csv,9,24/01/2016 to 07/03/2016,21604.00,0.60,5.168075,5.168075,0.009150,0.000175,23.235142,0.023235
77852396-f4a2-4d47-a864-8723417d9591.csv,5,02/04/2017 to 04/04/2017,42.00,0.70,0.239902,0.239902,0.009412,0.000171,21.438857,0.021439
82afe3ee-bf3a-469f-a2bf-f016de616453.csv,2,27/03/2015 to 12/05/2015,32.00,0.80,0.065069,0.031564,0.008738,0.000181,24.874580,0.024875
1e8c8712-0046-428d-864f-14d2357fb1d5.csv,2,28/03/2015 to 14/05/2015,2078.00,0.90,1.879684,0.780618,0.006550,0.000198,32.411169,0.032411
61c9167b-6dc3-47ca-9662-786dfdec3cd3.csv,1,12/02/2015 to 27/03/2015,19720.00,0.20,4.754049,4.754049,0.009437,0.000170,21.754572,0.021755
9cc3d613-1218-4cfe-b8c8-0e2bbdbc979b.csv,4,25/06/2015 to 06/08/2015,1019.00,0.40,0.427770,0.427770,0.009575,0.000167,21.961779,0.021962
0f19a0e2-0ac9-4039-a80f-50db5d2de392.csv,9,25/01/2016 to 08/03/2016,2182.00,0.50,1.389223,1.389223,0.009200,0.000174,23.343575,0.023344
9dae6241-7566-4dbd-b397-13a64fcc6e6c.csv,9,26/01/2016 to 09/03/2016,14959.00,0.50,5.149945,5.149945,0.009200,0.000174,23.343575,0.023344
6fffd62f-739b-4202-973d-df2d07470d87.csv,2,28/03/2015 to 13/05/2015,5040.00,0.60,2.399340,2.399340,0.009150,0.000175,23.235142,0.023235
2cf06c46-efd4-4c3c-8318-e504fc17ad08.csv,9,27/01/2016 to 09/03/2016,6401.00,0.80,2.731270,1.785609,0.008738,0.000181,24.874580,0.024875
70879f4e-5141-4cd6-8fc2-ba54fc7e58a5.csv,2,27/03/2015 to 12/05/2015,16991.00,0.90,4.403323,2.213999,0.006550,0.000198,32.411169,0.032411
d1f0f31d-17e2-484a-9b09-6b7cfc568102.csv,1,12/02/2015 to 27/03/2015,11308.00,0.90,4.035545,1.976899,0.006550,0.000198,32.411169,0.032411
d631238e-0e45-42ac-9627-0a9d1d62fad9.csv,6,19/09/2015 to 01/11/2015,6213.00,0.30,3.558428,3.558428,0.009425,0.000170,23.054103,0.023054
1c02fc69-0a78-46cb-bf57-226f307fc10a.csv,2,28/03/2015 to 13/05/2015,15636.00,0.50,3.980935,3.980935,0.009200,0.000174,23.343575,0.023344
09967234-a409-420a-bc5a-1474bb4790f3.csv,1,12/02/2015 to 27/03/2015,11148.00,0.60,4.564493,4.564493,0.009150,0.000175,23.235142,0.023235
6cecc5e4-b87f-4501-a1d6-66a501a752b7.csv,7,02/11/2015 to 15/12/2015,4292.00,0.90,2.545195,1.180182,0.006550,0.000198,32.411169,0.032411
e14e44b0-1b85-4343-a618-61e92984adfd.csv,4,25/06/2015 to 06/08/2015,7565.00,0.90,3.263530,1.515612,0.006550,0.000198,32.411169,0.032411
e14e44b0-1b85-4343-a618-61e92984adfd.csv,4,25/06/2015 to 06/08/2015,7565.00,0.10,3.263530,3.263530,0.009437,0.000170,22.614051,0.022614
e76658cf-88ea-4123-8715-0248909dd88b.csv,7,31/10/2015 to 14/12/2015,10395.00,0.10,4.132125,4.132125,0.009437,0.000170,22.614051,0.022614
b88ecde4-b4fc-4b25-80da-e5229a2f09e3.csv,5,07/08/2015 to 19/09/2015,374.00,0.20,0.190414,0.190414,0.009437,0.000170,21.754572,0.021755
f5850315-552a-440f-9871-173212ad467f.csv,1,13/02/2015 to 28/03/2015,15319.00,0.20,5.079229,5.079229,0.009437,0.000170,21.754572,0.021755
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,3,14/05/2015 to 27/06/2015,11552.00,0.80,3.772283,2.472067,0.008738,0.000181,24.874580,0.024875
e14e44b0-1b85-4343-a618-61e92984adfd.csv,7,31/10/2015 to 13/12/2015,8292.00,0.90,3.446329,1.661556,0.006550,0.000198,32.411169,0.032411
e363b1f3-f503-48b4-b87c-98fe07632c02.csv,3,12/05/2015 to 25/06/2015,5.00,0.20,0.011174,0.011174,0.009437,0.000170,21.754572,0.021755
e41dddd2-87dd-4d4b-bdb6-9859c34768f1.csv,8,12/12/2015 to 24/01/2016,3272.00,0.30,1.660916,1.660916,0.009425,0.000170,23.054103,0.023054
6db8d3e1-753f-4672-ac33-c372da58bd44.csv,8,17/12/2015 to 28/01/2016,11063.00,0.40,3.706944,3.706944,0.009575,0.000167,21.961779,0.021962
