Episode,HouseholdID,Total Reward,Selected Encryption Ratio,Scaled Average Attack Duration,Scaled Average ASR Mean,Scaled Sum Remaining Entropy,Scaled Average Memory MiB,Scaled Summation Error,Scaled Deviation Error,Scaled Encryption Time,Scaled Decryption Time,Scaled Summation Operations Time,Scaled Deviation Operations Time,Average Attack Duration,Average ASR Mean,Sum Remaining Entropy,Average Memory MiB,Summation Error,Deviation Error,Encryption Time,Decryption Time,Summation Operations Time,Deviation Operations Time
11,MAC000203.csv,-1.6127925,0.3,0.007528923169100456,0.9957175177763413,-0.4560683488262573,0.03703703703703676,0.06992908413569583,0.006463504534485548,0.10500666925734932,0.0,0.4658906460140055,0.3963453305850642,0.824893,0.012323,52.977817,103.0,948.408077,-0.067841,999800,0,1004600,999900
12,MAC000226.csv,-0.008142164,0.4,0.5124179736604856,0.42420814479638,-0.5595202381634327,0.03703703703703676,0.08972610537025225,0.027531785167528355,0.105311249514247,0.0,0.0,0.3962660535912478,24.094420000000003,0.0052499999999999995,28.564774,103.0,1216.183538,-0.282044,1002700,0,0,999700
13,MAC000108.csv,-0.7614467,0.9,0.19228006563126937,0.0,-0.680565363049725,0.0,0.05377074004614304,0.0010057946795959706,0.3150515160744856,0.0,0.4646385011362056,0.7998255906136039,9.339777,0.0,0.0,102.0,-729.849538,-0.012352,2999700,0,1001900,2017800
14,MAC000209.csv,-0.2523926,0.7,0.9999999999999997,0.19190368455074333,-0.6483663762230221,0.5925925925925926,0.045035878811921795,0.00023005610752737881,0.21009736065453247,0.0,0.4651486342345685,0.39575075313144126,46.56629399999999,0.0023749999999999995,7.5984620000000005,118.0,-611.701385,-0.004465,2000400,0,1003000,998400
15,MAC000185.csv,-0.06948526,0.5,0.6280079777997051,0.37677763413057525,-0.5942415092285762,0.22222222222222232,0.022108754552521613,0.008967073649920306,0.26273723126043713,0.0,0.0,0.398921832884097,29.421778,0.004663,20.371092,108.0,301.588,-0.093295,2501600,0,0,1006400
16,MAC000185.csv,-1.9466907,0.2,1.734723475976807e-18,1.0,-0.48506584156842913,0.37037037037037024,0.08009338676254948,0.010758934345488406,0.1045550502557424,0.0,0.4624588415341094,0.4035198985254479,0.4778970000000001,0.012376,46.134858,112.0,1085.890923,-0.111513,995500,0,997200,1018000
17,MAC000049.csv,-0.46344176,0.5,0.6280079777997051,0.37677763413057525,-0.5076134956080549,0.22222222222222232,0.05437924121020407,0.2030678409790023,0.10491214435003623,0.0,0.0,0.6377041382590771,29.421778,0.004663,40.813961,108.0,-738.080154,-2.066734,998900,0,0,1608800
18,MAC000170.csv,-0.009830203,0.5,0.6280079777997051,0.37677763413057525,-0.5753076221029528,0.22222222222222232,0.0003799392823938429,0.011100231777348177,0.11568798378372702,0.0,0.28771506747669623,0.19926272395750752,29.421778,0.004663,24.839195999999998,108.0,-7.683,-0.114983,1101500,0,620400,502700
19,MAC000017.csv,-0.484582,0.5,0.6280079777997051,0.37677763413057525,-0.6031949445019921,0.22222222222222232,0.037797611326647954,0.0050295635376314835,0.21040194091143016,0.0,0.4654268886518574,0.3981290629459331,29.421778,0.004663,18.25822,108.0,513.796231,-0.053262,2003300,0,1003600,1004400
20,MAC000178.csv,-0.81265414,0.7,0.9999999999999997,0.19190368455074333,-0.616880580286911,0.5925925925925926,0.17847550846022323,0.013929951406917516,0.2773360780565679,0.0,0.7455363353893243,0.42976058347867446,46.56629399999999,0.0023749999999999995,15.028622,118.0,-2416.612231,-0.143753,2640600,0,1607600,1084200
