round=0, currententropyreduction=0.3235, record=2120, original=0.000535, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2121, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2122, original=0.000562, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2123, original=0.000562, encryptionratio=0.1000, entropyreductionratio=0.0017, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2124, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2125, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2126, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2127, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2128, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2129, original=0.000711, encryptionratio=0.1000, entropyreductionratio=0.0022, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2130, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2131, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2132, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2133, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2134, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2135, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2136, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2137, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2138, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2139, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2140, original=0.000722, encryptionratio=0.1000, entropyreductionratio=0.0022, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2141, original=0.000685, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2142, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2143, original=0.001301, encryptionratio=0.1000, entropyreductionratio=0.0040, reduced=-0.000000
round=0, currententropyreduction=0.3235, record=2144, original=0.000639, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2145, original=0.000817, encryptionratio=0.1000, entropyreductionratio=0.0025, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2146, original=0.000842, encryptionratio=0.1000, entropyreductionratio=0.0026, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2147, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2148, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2149, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2150, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2151, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2152, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2153, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2154, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2155, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2156, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2157, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2158, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2159, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2160, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2161, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2162, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2163, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2164, original=0.000528, encryptionratio=0.1000, entropyreductionratio=0.0016, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2165, original=0.000929, encryptionratio=0.1000, entropyreductionratio=0.0029, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2166, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2167, original=0.000649, encryptionratio=0.1000, entropyreductionratio=0.0020, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2168, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2169, original=0.000424, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2170, original=0.000678, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2171, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2172, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2173, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2174, original=0.000420, encryptionratio=0.1000, entropyreductionratio=0.0013, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2175, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2176, original=0.000621, encryptionratio=0.1000, entropyreductionratio=0.0019, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2177, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2178, original=0.000672, encryptionratio=0.1000, entropyreductionratio=0.0021, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2179, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2180, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
round=0, currententropyreduction=0.3235, record=2181, original=0.000068, encryptionratio=0.1000, entropyreductionratio=0.0002, reduced=0.000000
