approach,tolerance,ratio,asr,time
none,0.00,0,1.0000,1m47.1866681s
none,0.00,10,0.9000,2m6.8887543s
none,0.00,20,0.8260,2m12.5092578s
none,0.00,30,0.6990,2m39.0834027s
none,0.00,40,0.6050,2m48.9805728s
none,0.00,50,0.4810,2m53.2009665s
none,0.00,60,0.4280,2m47.8767166s
none,0.00,70,0.3170,2m55.006171s
none,0.00,80,0.1960,2m54.5927735s
none,0.00,90,0.0960,2m45.8237646s
